name,email,phone,website
Pixel Bakers Studio,hello@pixelbakers.com,+1-555-210-4432,https://pixelbakers.com
GreenLeaf Organics,contact@greenleaforganics.co,+1-555-847-2210,https://greenleaforganics.co
Summit Law Group,info@summitlawgroup.net,+1-555-301-9988,https://summitlawgroup.net
BlueSky Dental Clinic,clinic@blueskydentalclinic.com,+1-555-774-6631,https://blueskydentalclinic.com
Nova Fitness Studio,team@novafitnessstudio.com,+1-555-429-5517,https://novafitnessstudio.com
Horizon Realty Partners,hello@horizonrealtypartners.com,+1-555-612-3380,https://horizonrealtypartners.com
Maple & Oak Interiors,studio@mapleandoak.design,+1-555-983-1127,https://mapleandoak.design
ClearPath Accounting,accounts@clearpathaccounting.com,+1-555-244-7790,https://clearpathaccounting.com
Ember Coffee Roasters,hi@embercoffeeroasters.com,+1-555-531-8843,https://embercoffeeroasters.com
Vertex Tech Solutions,sales@vertextechsolutions.com,+1-555-765-2204,https://vertextechsolutions.com
